LOCATION,SUBJECT,TIME,NIVEAU_ECRIT
NOR,TOT,2018,499.0
POL,TOT,2000,479.0
POL,TOT,2003,497.0
POL,TOT,2006,508.0
POL,TOT,2009,500.0
POL,TOT,2012,518.0
POL,TOT,2015,506.0
POL,TOT,2018,512.0
PRT,TOT,2000,470.0
PRT,TOT,2003,478.0
PRT,TOT,2006,472.0
PRT,TOT,2009,489.0
PRT,TOT,2012,488.0
PRT,TOT,2015,498.0
PRT,TOT,2018,492.0
SVK,TOT,2003,469.0
SVK,TOT,2006,466.0
SVK,TOT,2009,477.0
SVK,TOT,2012,463.0
SVK,TOT,2015,453.0
SVK,TOT,2018,458.0
ESP,TOT,2000,493.0
ESP,TOT,2003,481.0
ESP,TOT,2006,461.0
ESP,TOT,2009,481.0
ESP,TOT,2012,488.0
ESP,TOT,2015,496.0
SWE,TOT,2000,516.0
SWE,TOT,2003,514.0
SWE,TOT,2006,507.0
SWE,TOT,2009,497.0
SWE,TOT,2012,483.0
SWE,TOT,2015,500.0
SWE,TOT,2018,506.0
CHE,TOT,2000,494.0
CHE,TOT,2003,499.0
CHE,TOT,2006,499.0
CHE,TOT,2009,501.0
CHE,TOT,2012,509.0
CHE,TOT,2015,492.0
CHE,TOT,2018,484.0
TUR,TOT,2003,441.0
TUR,TOT,2006,447.0
TUR,TOT,2009,464.0
TUR,TOT,2012,475.0
TUR,TOT,2015,428.0
TUR,TOT,2018,466.0
GBR,TOT,2006,495.0
GBR,TOT,2009,494.0
GBR,TOT,2012,499.0
GBR,TOT,2015,498.0
GBR,TOT,2018,504.0
USA,TOT,2000,504.0
USA,TOT,2003,495.0
USA,TOT,2009,500.0
USA,TOT,2012,498.0
USA,TOT,2015,497.0
USA,TOT,2018,505.0
BRA,TOT,2000,396.0
BRA,TOT,2003,403.0
BRA,TOT,2006,393.0
BRA,TOT,2009,412.0
BRA,TOT,2012,407.0
BRA,TOT,2015,407.0
BRA,TOT,2018,413.0
CHL,TOT,2000,410.0
CHL,TOT,2006,442.0
CHL,TOT,2009,449.0
CHL,TOT,2012,441.0
CHL,TOT,2015,459.0
CHL,TOT,2018,452.0
EST,TOT,2006,501.0
EST,TOT,2009,501.0
EST,TOT,2012,516.0
EST,TOT,2015,519.0
EST,TOT,2018,523.0
IDN,TOT,2000,371.0
IDN,TOT,2003,382.0
IDN,TOT,2006,393.0
IDN,TOT,2009,402.0
IDN,TOT,2012,396.0
IDN,TOT,2015,397.0
IDN,TOT,2018,371.0
ISR,TOT,2000,452.0
ISR,TOT,2006,439.0
ISR,TOT,2009,474.0
ISR,TOT,2012,486.0
ISR,TOT,2015,479.0
ISR,TOT,2018,470.0
LVA,TOT,2000,458.0
LVA,TOT,2003,491.0
LVA,TOT,2006,479.0
LVA,TOT,2009,484.0
LVA,TOT,2012,489.0
LVA,TOT,2015,488.0
LVA,TOT,2018,479.0
RUS,TOT,2000,462.0
RUS,TOT,2003,442.0
RUS,TOT,2006,440.0
RUS,TOT,2009,459.0
RUS,TOT,2012,475.0
RUS,TOT,2015,495.0
RUS,TOT,2018,479.0
SGP,BOY,2015,525.0
SGP,GIRL,2015,546.0
SVN,TOT,2006,494.0
SVN,TOT,2009,483.0
SVN,TOT,2012,481.0
SVN,TOT,2015,505.0
SVN,TOT,2018,495.0
COL,TOT,2015,425.0
COL,TOT,2018,412.0
COL,BOY,2015,417.0
COL,BOY,2018,407.0
COL,GIRL,2015,432.0
COL,GIRL,2018,417.0
HKG,TOT,2015,527.0
HKG,BOY,2015,513.0
HKG,GIRL,2015,541.0
PER,TOT,2015,398.0
PER,BOY,2015,394.0
PER,GIRL,2015,401.0
SGP,TOT,2015,535.0
TWN,TOT,2015,497.0
TWN,BOY,2015,485.0
TWN,GIRL,2015,510.0
MAC,TOT,2015,509.0
MAC,BOY,2015,493.0
MAC,GIRL,2015,525.0
CRI,TOT,2018,426.0
CRI,BOY,2018,419.0
CRI,GIRL,2018,434.0
LTU,TOT,2018,476.0
LTU,BOY,2018,457.0
LTU,GIRL,2018,496.0
